Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Parent
Serum,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Spleen,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Sputum,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Stomach,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
TCID50,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Thymus,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Tonsil,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Trachea,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
True,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.,Were the ionization conditions recorded to enable reproduction of the experiment,Was the sample taken after death (true/false),Was a reagent applied to the sample,Was a treatment applied to the sample,Indicates whether or not the bisulfiteSeq library is directional,Whether or not the library is stranded.,Was individual fasting when the sample was taken (true/false)",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
TrueUseReagent,When useReagent = TRUE,unspecified,,"reagentCatalogNumber,reagentContact,reagentIDs,reagentLotNumber,reagentManufacturer,reagentName,reagentWeblink",False,"ImmPort,Sage Bionetworks",unspecified
TrueUseTreatment,When useTreatment = TRUE,unspecified,,"treatmentAmountUnit,treatmentAmountValue,treatmentDurationUnit,treatmentIDs,treatmentName,treatmentTemperatureUnit,treatmentTemperatureValue",False,"ImmPort,Sage Bionetworks",unspecified
Urine,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Vagina,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Weeks,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Years,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
brain,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
d.p.c.,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
gm,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
kg,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
l,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
mM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
mg,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
ml,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
nM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
ng,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
nl,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
otherMeasurementTechnique,When measurementTechnique = other,unspecified,,specifyMeasurementTechnique,False,Sage Bionetworks,Specification
otherSampleType,When sampleType = other,unspecified,,specifySampleType,False,Sage Bionetworks,Specification
pM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
pg,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
pl,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
reagentIDs,"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
reagentName,The reagent name is an alternative to the Reagent ID,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
reagentWeblink,An internet address that may provide details of an assay reagent.,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
sampleType,The type of sample collected,STRING,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,DNA,Dendritic cell,Dermis,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,NK cell,Nasal Swab,Nasal Swab or Nose Specimen,Nasal lavage fluid,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,OtherSampleTypeSampleType,PBL,PBMC,Pancreas,Pancreatic Stellate Cells,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood,brain,cell line",,True,"ImmPort,Sage Bionetworks",unspecified
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",STRING,,,False,Sage Bionetworks,Specification
specifySampleType,"If ""other"" is selected list the type of sample",STRING,,,False,Sage Bionetworks,Specification
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor,Identifying string linked to a particular sample or specimen, provided by the data contributor",STRING,,,True,Sage Bionetworks,unspecified
treatmentAmountUnit,Unit of treatment amount,NUMBER,"AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,PFU,PFUe,Pound,TCID50,g/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",,False,"ImmPort,Sage Bionetworks",unspecified
treatmentAmountValue,"The Amount Value indicates how much (concentration, mass, volume) of a treatment agent was applied to a sample.",STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
treatmentDurationUnit,Unit of treatment duration,STRING,"Days,Hours,Minutes,Months,Not Specified,Seconds,Weeks,Years,d.p.c.",,False,"ImmPort,Sage Bionetworks",unspecified
treatmentDurationValue,Duration of treatment,NUMBER,,,False,,unspecified
treatmentIDs,"One or more identifiers, separated by a semicolon (;). The treatment identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
treatmentName,"Treatments refer to in vitro modifications of samples. Three treatment types are supported: agent amount, duration, and temperature.  Treatment name is an alternate identifier to the Treatment ID ",STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
treatmentTemperatureUnit,Unit of treatment temperature,STRING,"C,F,K,Not Specified",,False,"ImmPort,Sage Bionetworks",unspecified
treatmentTemperatureValue,Value of treatment temperature,NUMBER,,,False,"ImmPort,Sage Bionetworks",unspecified
uM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
ug,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
ul,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
useReagent,Was a reagent applied to the sample,BOOLEAN,"False,True",,False,"ImmPort,Sage Bionetworks",unspecified
useTreatment,Was a treatment applied to the sample,BOOLEAN,"False,True",,False,"ImmPort,Sage Bionetworks",unspecified
