Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
enrichment,"Protocol or reagent used for enrichment (ex. Fe3+NTA-Agarose (Qiagen),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
enrichmentStrategy,"Type of peptide or protein enrichment,",True,STRING,,,,
experimentType,"The type of experiment used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
instrumentModel,"The model of the instrument used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
isobaricLabelingReagent,"Reagent set used for isobaric labeling.,Examples:,iTRAQ113,TMT126,,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
labelFreeQuantitation,"Type of label-free data analysis strategy ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,"Label-free gene level quantitation,Label-free peptide level quantitation,Label-free protein group level quantitation,Label-free protein level quantitation,Label-free raw feature quantitation,OtherLabelFreeQuantitation"
labelQuantitation,"Type of labeling used ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
measurementTechnique,"The name of the measurement technique describing the assay method.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",False,STRING,,http://purl.obolibrary.org/obo/NCIT_C156434,ManifestColumn,"Lipid, Not Specified, Not applicable, Not collected, Other, Unknown, metabolite,Protein"
msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",True,STRING,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",ManifestColumn,"Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1, Exploris 240Exploris 480quadrupole time-of-flight, Not Specified, Not applicable, Not collected, Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, Unknown, Xevo G2 QTOF, Xevo TQ-S, time-of-flight, triple quadrupole,Bruker Avance III,Exploris 240,Exploris 480,LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,OtherMsAnalyzerTypeMS1 ,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,TimsTOF Pro,Xevo G2 QTOF,Xevo TQ-S,quadrupole time-of-flight,time-of-flight,triple quadrupole"
msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",True,STRING,,"Proposed minimum metadata relative to mass spectrometry ,Sage Bionetworks",ManifestColumn,"Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2, Exploris 240Exploris 480quadrupole time-of-flight, Not Specified, Not applicable, Not collected, Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, Unknown, Xevo G2 QTOF, Xevo TQ-S, time-of-flight, triple quadrupole,Bruker Avance III,Exploris 240,Exploris 480,LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,OtherMsAnalyzerTypeMS2 ,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,TimsTOF Pro,Xevo G2 QTOF,Xevo TQ-S,quadrupole time-of-flight,time-of-flight,triple quadrupole"
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,"DSLWG,Sage Bionetworks",ManifestColumn,"DIA-MS, FIA-MSMS, HPLC-MSMS, LC-MS, LC-MSMS, LC-SRMOtherMsAssayTechnique, MDMS-SL, MIB-MS, Not Specified, Not applicable, Not collected, UPLC-ESI-QTOF-MS, UPLC-MSMS, Unknown,DDA-MS"
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,True,STRING,,Sage Bionetworks,ManifestColumn,"Not Specified, Not applicable, Not collected, UnTargetedMsTarget, Unknown,Targeted,TargetedMsTarget,TargetedMsTarget ,Untargeted"
quantationStrategy,"The general strategy used for differential analysis,Example:,Absolute quantitation analysis,Isobaric label quantitation analysis,LC-MS label-free quantitation analysis,,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,,,
samplePrepProtocol,"An internet address that may provide more details of the protocol information (web link).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",False,STRING,,Sage Bionetworks,ManifestColumn,
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,"ImmPort,Sage Bionetworks",ManifestColumn,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,DNA,Dendritic cell,Dermis,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,NK cell,Nasal Swab,Nasal Swab or Nose Specimen,Nasal lavage fluid,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,OtherSampleType,PBL,PBMC,Pancreas,Pancreatic Stellate Cells,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood,brain,cell line"
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",True,STRING,,Sage Bionetworks,ManifestColumn,
spectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),True,NUMBER,,Sage Bionetworks,ManifestColumn,
specifyDatabaseName,"If ""other"" list the name of the search database",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyDatabaseSource,"If ""other"" list the name of the database source",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyDigestionMethod,Value is determined by the data contributor,False,STRING,,Sage Bionetworks,ManifestColumn,
specifyDigestionReagent,"If ""other"" is selected specify the name of the enzyme",True,STRING,,,,
specifyEnrichmentStrategy,"If ""other"" is selected specify the name",True,STRING,,,,
specifyLabelFreeQuantitation,"If ""other"" is selected please specify",True,STRING,,,,
specifyMSAnalyteType,"If ""other"" list the type of analyte ",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyMSAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyMSAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyMSAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyMSInstrumentModel,"If ""other"" is selected list the name of the instrument model",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyOtherCleavageAgent,Value is determined by the data contributor,False,STRING,,Sage Bionetworks,ManifestColumn,
specifyOtherDataFile,"If ""other"" is selected, list the name of the data file. ",True,STRING,,,,
specifyOtherModificationParameters,Value is determined by the data contributor,False,STRING,,Sage Bionetworks,ManifestColumn,
specifyPlatformLocation,"If ""other"" list the name of the platform location",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyPlatformVersion,"If ""other"" list the name of the platform version",False,STRING,,Sage Bionetworks,ManifestColumn,
specifyProteomicsAssayType,Value is determined by the data contributor,False,STRING,,Sage Bionetworks,ManifestColumn,
specifySampleType,"If ""other"" is selected list the type of sample",False,STRING,,Sage Bionetworks,ManifestColumn,
cleavageAgents,Name(s) of the enzyme used,True,STRING,,Proteomics Sample Metadata,ManifestColumn,
digestionMethod,"The type of digestion - in-solution, in-gel, etc. (ex. ""in-gel digestion"")",True,STRING,,"DSLWG,Sage Bionetworks",ManifestColumn,"Not applicable, Not collected, OtherDigestionMethod, Unknown, in-gel,in-solution"
fractionIdentifier,"Identifier string that describes the sample fraction. This identifier should contain the fraction number(s) or similar information. (It MUST start from 1; if the experiment is not fractionated, 1 MUST be used for each MSRun (assay).",True,"NUMBER,STRING",,"MS Ontology,Sage Bionetworks,The Proteomics Sample Metadata Project",ManifestColumn,
fragmentMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",True,STRING,,Proteomics Sample Metadata,ManifestColumn,
modificationParameters,Modification parameters for the search engine run. [ PSI: PI http://www.w3.org/2002/07/owl#Axiom ],True,STRING,,https://www.ebi.ac.uk/ols/ontologies/ms/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1001055,ManifestColumn,
precursorMassTolerance,"Units of measure are Da or ppm (ex. ""0.6 Da"" or ""20 ppm"")",True,STRING,,Proteomics Sample Metadata,ManifestColumn,
Filename,Name of the file. This helps to link annotations from metadata files.,True,,,,ManifestColumn,
