Key,Key Description,Valid Values,columnType,Parent,Module
captivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.","Not applicable, Not collected,Unknown",,ManifestColumn,Metadata
captivityStatus,"The status of the individual with regard to captivity. note: Wild, captive, and stranded values are applicable, especially for marine mammals. Depending on life stage terminology for individual species, other are possible. Please let the data curation team know.","Not applicable, Not collected, Other, Stranded, Unknown, Wild,CaptiveCaptivityStatus",,ManifestColumn,Metadata
cohort,Name of the cohort the individual belongs to,"Cardiovascular Health Study (CHS), Denmark Family, Not applicable, Not collected, Other, Study of Osteoporotic Fractures (SOF), The Health and Aging and Body Composition Study (HealthABC), The Osteoporotic Fractures in Men (MrOS) Study, US Family, Unknown,Centenarian",,ManifestColumn,Metadata
commonName,"The biological species common name the individual belongs to (ex. ""Horned Lark"").note: As a default, the valid scientific name for the species should be indicated. ",,,ManifestColumn,Metadata
consentGroup,"Indicate the consent group for the individual, provided by the data contributor's data dictionary","Not collected, Disease Specific, Longevity Age and related Health Conditions, Non Profit Use, Not applicable,General Research Use",,ManifestColumn,Metadata
consentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary","Not collected,  Other, 2, 3, Disease Specific, General Research Use, Longevity Age and related Health Conditions, Non Profit Use, Not applicable,1",,ManifestColumn,Metadata
consortium,"Unique identifier for the consortium, assigned by the contributor","ILO, LC, NECS, Other,LLFS",,ManifestColumn,Metadata
controlType,"Control samples suitable for normalization and batch correction.,Possible example values:,GIS,GoldenWest,NIST SRM 1950,AIBL pool, ,Baker pool, ,water plus Baker ISTD,study pool,internal standards,Other,Unknown,Not collected,Not applicable,Not specified","AIBL pool, Baker pool, GoldenWest, NIST SRM 1950, Not Specified, Not applicable, Not collected, Other, Unknown, internal standards, study pool, water plus Baker ISTD,GIS",string,ManifestColumn,Metadata
countryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")","004, 008, 010, 012, 016, 020, 024, 028, 031, 032, 036, 040, 044, 048, 050, 051, 052, 056, 058, 060, 064, 068, 070, 072, 074, 076, 080, 084, 086, 090, 092, 096, 100, 104, 108, 112, 116, 120, 124, 132, 136, 140, 144, 148, 152, 156, 162, 166, 170, 174, 175, 178, 180, 184, 188, 191, 192, 196, 200, 203, 204, 208, 212, 214, 218, 222, 226, 230, 231, 232, 233, 234, 238, 239, 242, 246, 250, 254, 258, 260, 262, 266, 268, 270, 275, 276, 278, 288, 292, 296, 300, 304, 308, 312, 316, 320, 324, 328, 332, 334, 336, 340, 344, 348, 352, 356, 360, 364, 368, 372, 376, 380, 384, 388, 392, 398, 400, 404, 408, 410, 414, 417, 418, 422, 426, 428, 430, 434, 440, 442, 446, 450, 454, 458, 462, 466, 470, 474, 478, 480, 484, 490, 492, 496, 498, 499, 500, 504, 508, 512, 516, 520, 524, 528, 530, 531, 533, 534, 535, 536, 540, 548, 554, 558, 562, 566, 570, 574, 578, 580, 581, 582, 583, 584, 585, 586, 591, 598, 600, 604, 608, 612, 616, 620, 624, 626, 634, 638, 642, 643, 646, 654, 659, 660, 662, 666, 670, 674, 678, 682, 686, 690, 694, 702, 703, 704, 705, 706, 710, 716, 720, 724, 728, 729, 732, 736, 740, 748, 752, 756, 760, 762, 764, 768, 772, 776, 780, 784, 788, 792, 795, 796, 798, 800, 804, 807, 810, 818, 826, 834, 837, 838, 839, 840, 849, 854, 858, 860, 862, 876, 882, 887, 890, 891, 894, 898, EAS, ECS, LCN, MEA, NAC, Not applicable, Not collected, Other, SAS, SSF, Unknown,000",,ManifestColumn,Metadata
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","HMDB, Metlin, NIST17, Not Specified, Not applicable, Not collected, OtherDatabaseName, Unknown,MassBank of North America (MoNA)",string,ManifestColumn,Metadata
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).","Not Specified, Not applicable, Not collected, Unknown,OtherDatabaseSource",string,ManifestColumn,Metadata
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,ManifestColumn,Metadata
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.,Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified,Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.,,Provide the file names of any additional files submitted alongside the data.",,string,ManifestColumn,Metadata
diagnosis,Indicate the disease or condition.,,,ManifestColumn,Metadata
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed","FALSE, Not applicable, Not collected, Unknown,TRUE",,ManifestColumn,Metadata
digestionReagent,"Enzymes or reagents used for digestion. ,",,string,,Metadata
enrichment,"Protocol or reagent used for enrichment (ex. Fe3+NTA-Agarose (Qiagen),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
enrichmentStrategy,"Type of peptide or protein enrichment,",,string,,Metadata
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,,ManifestColumn,Metadata
ethnicity,Ethnicity of individual,"Hispanic or latino, Not applicable, Not collected, Other, Prefer not to answer, Unknown,Not Hispanic or latino",,ManifestColumn,Metadata
experiementalBatchSize,The number of samples ,,number,ManifestColumn,Metadata
experiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherExperiementalBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",string,ManifestColumn,Metadata
experimentType,"The type of experiment used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
extractionMethod,"The name of the process used to separate a desired component of an input material from the remainder.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Not Specified, Not applicable, Not collected,Unknown",string,ManifestColumn,Metadata
Female,,,,ValidValue,Metadata
fieldCenterCode,Name of the field center ,"DK, NY, Not applicable, Not collected, Other, PT, Unknown,BU",,ManifestColumn,Metadata
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.,Unit of measure: ,C,F,K,Not specified",,number,ManifestColumn,Metadata
gasFlowTemperatureUnit,Unit of gas flow temperature,"F, K, Not Specified,C",string,ManifestColumn,Metadata
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.","No,No,Yes,YesHasAssayControl,YesHasAssayControl",boolean,ManifestColumn,Metadata
hasIonizationSource?,Were the ionization conditions recorded to enable reproduction of the experiment?,"No,Yes,YesHasIonizationSource?",boolean,,Metadata
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",,,ManifestColumn,Metadata
instrumentModel,"The model of the instrument used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
ionProperty,Ion charge state (positive or negative-ion analysis),"Negative,Positive",string,ManifestColumn,Metadata
isGovernanceFolder,Used to help governance to find folder to apply access restrictions,False,boolean,ManifestColumn,Metadata
isobaricLabelingReagent,"Reagent set used for isobaric labeling.,Examples:,iTRAQ113,TMT126,,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
labelFreeQuantitation,"Type of label-free data analysis strategy ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Label-free gene level quantitation,Label-free peptide level quantitation,Label-free protein group level quantitation,Label-free protein level quantitation,Label-free raw feature quantitation,OtherLabelFreeQuantitation",string,,Metadata
labelQuantitation,"Type of labeling used ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
lensVoltages,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",,number,ManifestColumn,Metadata
lensVoltagesUnit,Unit of lens voltages,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherLensVoltagesUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU",string,ManifestColumn,Metadata
lifeStage,The life stage of the individual. note: Other are possible depending on life stage terminology for individual species. Please let the data curation team know.,"Adult, Not applicable, Not collected, Other, Post-Juvenile, Unknown,Juvenile",,ManifestColumn,Metadata
measurementTechnique,"The name of the measurement technique describing the assay method.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Lipid, Not Specified, Not applicable, Not collected, Other, Unknown, metabolite,Protein",string,ManifestColumn,Metadata
msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1, Exploris 240Exploris 480quadrupole time-of-flight, Not Specified, Not applicable, Not collected, Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, Unknown, Xevo G2 QTOF, Xevo TQ-S, time-of-flight, triple quadrupole,Bruker Avance III,Exploris 240,Exploris 480,LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,OtherMsAnalyzerTypeMS1 ,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,TimsTOF Pro,Xevo G2 QTOF,Xevo TQ-S,quadrupole time-of-flight,time-of-flight,triple quadrupole",string,ManifestColumn,Metadata
msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2, Exploris 240Exploris 480quadrupole time-of-flight, Not Specified, Not applicable, Not collected, Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive, Q Exactive HF, Q Exactive HF-X, Q Exactive Plus, Unknown, Xevo G2 QTOF, Xevo TQ-S, time-of-flight, triple quadrupole,Bruker Avance III,Exploris 240,Exploris 480,LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,OtherMsAnalyzerTypeMS2 ,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,TimsTOF Pro,Xevo G2 QTOF,Xevo TQ-S,quadrupole time-of-flight,time-of-flight,triple quadrupole",string,ManifestColumn,Metadata
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","DIA-MS, FIA-MSMS, HPLC-MSMS, LC-MS, LC-MSMS, LC-SRMOtherMsAssayTechnique, MDMS-SL, MIB-MS, Not Specified, Not applicable, Not collected, UPLC-ESI-QTOF-MS, UPLC-MSMS, Unknown,DDA-MS",string,ManifestColumn,Metadata
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"Not Specified, Not applicable, Not collected, UnTargetedMsTarget, Unknown,Targeted,TargetedMsTarget,TargetedMsTarget ,Untargeted",string,ManifestColumn,Metadata
Multiracial,,,,Demographics,Metadata
Native_Hawaiian_or_Other_Pacific_Islander,,,,Demographics,Metadata
Not_Hispanic_or_latino,,,,ValidValue,Metadata
organ,Indicate the organ the specimen is from,"Accessory Lacrimal Gland, Adrenal Gland, Alveolar Duct, Anal Gland, Anal Sac, Ankle Skin, Anterior Compartment Lymph Node Group (Level VI), Anterior Mediastinal Lymph Node, Aortocaval Lymph Node, Aortopulmonary Window Lymph Node, Apocrine Sweat Gland, Arm Skin, Axillary Lymph Node, Axillary Lymph Node Level I, Axillary Lymph Node Level II, Axillary Lymph Node Level III, Bartholin Gland, Bile Duct, Biliary Tract, Bladder, Bone Marrow, Both Eyes, Brachial Lymph Node, Brain, Branch Duct, Breast, Bronchial Lymph Node, Bronchial Tree, Brunner's Gland, Buccal Lymph Node, Buccal Salivary Gland, Cardia Gland, Cardiophrenic Lymph Node, Celiac Lymph Node, Ceruminous Gland, Cervical Gland, Cervical Lymph Node, Circumanal Gland, Cochlear Duct, Colon Lymph Node, Common Bile Duct, Common Hepatic Duct, Common Iliac Lymph Node, Cowper Gland, Cystic Duct, Deep Cervical Lymph Node, Diaphragmatic Lymph Node, Distal 1/3 of the Common Bile Duct, Distal Common Bile Duct, Distant Lymph Node, Draining Lymph Node, Duct, Duct of Gartner, Duct of the Epididymis, Ductus Santorini, Ear, Ear Skin, Eccrine Sweat Gland, Efferent Duct, Ejaculatory Duct, Elbow Skin, Endocrine Gland, Endocrine Ovary, Endocrine Sex Organ, Endocrine Testis, Epididymis, Epigastric Lymph Node, Epitrochlear Lymph Node, Esophageal Gland, Esophageal Lymph Node, Esophagus, Exocrine Gland, Exocrine Pancreas, External Iliac Lymph Node, Extra-Abdominal Lymph Node, Extrahepatic Bile Duct, Eye, Eyelid Skin, Fallopian Tube, Female Breast, Female Prepuce, Female Urethra, Femoral Lymph Node, Femur, Fixed Lymph Node, Flexural Skin, Foot Digit Skin, Foot Skin, Fundic Gland, Gallbladder, Gastric Curvature Lymph Node, Gastric Lymph Node, Gastrohepatic Lymph Node, Glabrous Skin, Gland, Gland of Krause, Gland of Littre, Gland of Moll, Gland of Wolfring, Gonad, Hand Digit Skin, Hand Skin, Head Skin, Head and Neck Lymph Node, Heart, Hepatic Duct, Hepatic Lymph Node, Hilar Portion of the Hepatic Duct, Hilar Portion of the Left Hepatic Duct, Hilar Portion of the Right Hepatic Duct, Humerus, Ileum Lymph Node, Iliac Lymph Node, Inferior Mediastinal Lymph Node, Inferior Parathyroid Gland, Infraclavicular Lymph Node, Inguinal Lymph Node, Intercalated Duct, Intercalated Duct of the Pancreas, Intercalated Duct of the Salivary Gland System, Intercostal Lymph Node, Interlobular Bile Duct, Interlobular Duct, Internal Iliac Lymph Node, Internal Mammary Lymph Node, Interval Lymph Node, Intestine, Intra-Abdominal Lymph Node, Intrahepatic Bile Duct, Intrahepatic Large Bile Duct, Intrahepatic Portion of the Left Hepatic Duct, Intrahepatic Portion of the Right Hepatic Duct, Intramammary Lymph Node, Intrathoracic Lymph Node, Intrathyroidal Parathyroid, Kidney, Knee Skin, Labial Salivary Gland, Lacrimal Gland, Lactiferous Duct, Laryngeal Mucous Salivary Gland, Left Adrenal Gland, Left Breast, Left Ear, Left Eye, Left Fallopian Tube, Left Hepatic Duct, Left Kidney, Left Lung, Left Lung Alveolar Duct, Left Ovary, Left Seminal Vesicle, Left Testis, Left Ureter, Leg Skin, Lingual Salivary Gland, Lingual Tonsil, Liver, Lower Gastrointestinal Tract Lymph Node, Lower Jugular Lymph Node Group (Level IV), Lung, Lymph Node, Lymph Node by Anatomic Site, Lymph Node of Inguinal Region or Leg, Main Pancreatic and Accessory Ducts, Major Salivary Gland, Male Breast, Male Prepuce, Male Urethra, Mammary Gland, Medial Supraclavicular Lymph Node, Median Or Lower Cervical Lymph Node, Mediastinal Lymph Node, Meibomian Gland, Mesenteric Lymph Node, Middle Jugular Lymph Node Group (Level III), Minor Salivary Gland, Montgomery Tubercle, Mucous Salivary Gland, Mullerian Duct, Nasolacrimal Duct, Neck Lymph Node Boundary Level III, Neck Lymph Node Boundary Level IV, Neck Lymph Node Boundary Level VI, Neck Lymph Node Boundary Level VII, Neck Lymph Node Boundary Levels I-IV, Neck Lymph Node Boundary Levels II-IV, Neck Lymph Node Boundary Levels and Sublevels, Neck Lymph Node Boundary Sublevel IA, Neck Lymph Node Boundary Sublevel IB, Neck Lymph Node Boundary Sublevel IIA, Neck Lymph Node Boundary Sublevel IIB, Neck Lymph Node Boundary Sublevel VA, Neck Lymph Node Boundary Sublevel VB, Neck Lymph Node Groups, Neck Skin, Non-Glabrous Skin, Nose, Not applicable, Not collected, Nuchal Lymph Node, Obturator Lymph Node, Occipital Lymph Node, Occipital Scalp, Organ of Special Sense, Other, Ovary, Palatine Salivary Gland, Palatine Tonsil, Pancreas, Pancreatic Duct, Pancreatic Lymph Node, Paraaortic Lymph Node, Paracaval Lymph Node, Paralaryngeal Lymph Node, Parapharyngeal Lymph Node, Parathyroid Gland, Paratracheal Lymph Node, Parotid Duct, Parotid Gland, Parotid Gland Lymph Node, Pectoral Lymph Node, Pelvic Lymph Node, Penis, Pericardial Lymph Node, Perifacial Lymph Node, Perihilar Lymph Node, Perirectal Lymph Node, Peristomal Skin, Peritoneal Lymph Node, Pharyngeal Tonsil, Pineal Gland, Pituitary Gland, Popliteal Lymph Node, Porta Hepatis Lymph Node, Portacaval Lymph Node, Portal Lymph Node, Posterior Cervical Lymph Node, Posterior Triangle Lymph Node Group (Sublevels VA and VB), Preauricular Lymph Node, Pregnant Uterus, Prelaryngeal Lymph Node, Prepuce, Presacral Lymph Node, Pretracheal Lymph Node, Prostate Gland, Prostatic Duct, Pulmonary Hilar Lymph Node, Pyloric Gland, Regional Lymph Node, Renal Lymph Node, Retroauricular Lymph Node, Retrocrural Lymph Node, Retroperitoneal Lymph Node, Retropharyngeal Lymph Node, Retrosacral Lymph Node, Rib, Right Adrenal Gland, Right Breast, Right Ear, Right Eye, Right Fallopian Tube, Right Hepatic Duct, Right Kidney, Right Lung, Right Lung Alveolar Duct, Right Lymphatic Duct, Right Ovary, Right Seminal Vesicle, Right Testis, Right Ureter, Sacral Lymph Node, Salivary Gland, Scalene Lymph Node, Scalp, Scapula, Scrotum, Sebaceous Gland, Sebaceous Gland Duct, Sebaceous Gland of the Eyelash, Semicircular Duct, Seminal Vesicle, Sentinel Lymph Node, Seromucous Salivary Gland, Serous Salivary Gland, Skene Gland, Skin, Skin Around the Eye, Skin Around the Mouth, Skin Between the Eyebrows, Skin Of The Axilla, Skin Of The Back, Skin Of The Chin, Skin of the Bending Joint, Skin of the Buttock, Skin of the Chest, Skin of the Extremity, Skin of the Face, Skin of the Forearm, Skin of the Infrascapular Region, Skin of the Inguinal Region, Skin of the Lip, Skin of the Lower Extremity, Skin of the Lower Limb and Hip, Skin of the Palm, Skin of the Scalp and Neck, Skin of the Sole, Skin of the Trunk, Skin of the Upper Extremity, Skin of the Upper Limb and Shoulder, Skinfold, Spermatic Cord, Spinal Cord, Spleen, Splenic Hilar Lymph Node, Splenic Lymph Node, Sternum, Stomach, Striated Duct, Subcarinal Lymph Node, Sublingual Lymph Node, Sublingual Salivary Gland, Submandibular Duct, Submandibular Gland, Submandibular Lymph Node, Submandibular Lymph Node Group (Sublevel IB), Submental Lymph Node, Submental Lymph Node Group (Sublevel IA), Subsegmental Lymph Node, Superficial Cervical Lymph Node, Superficial Lymph Node, Superior Mediastinal Lymph Node Group (Level VII), Superior Parathyroid Gland, Supraclavicular Lymph Node, Suprapubic Skin, Sweat Gland, Sweat Gland Duct, Testis, Thoracic Duct, Thoracic Lymph Node, Thymus Gland, Thyroid Gland, Tibia, Tongue, Tonsil, Trachea, Tracheobronchial Lymph Node, Tracheobronchial Tree, Unknown, Upper Cervical Lymph Node, Upper Jugular Lymph Node Group (Sublevels IIA and IIB), Upper Paratracheal Lymph Node, Ureter, Urethra, Urethral Gland, Uterus, Utriculosaccular Duct, Vagina, Vas Deferens, Vertebral, Vulva, Wrist Skin,Abdominal Skin",,ManifestColumn,Metadata
Other_race,,,,Demographics,Metadata
Prefer_not_to_answer,,,,Demographics,Metadata
quantationStrategy,"The general strategy used for differential analysis,Example:,Absolute quantitation analysis,Isobaric label quantitation analysis,LC-MS label-free quantitation analysis,,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,,Metadata
race,Race of individual,"American Indian or Alaska Native, Black or African American, Multiracial, Native Hawaiian or Other Pacific Islander, Not applicable, Not collected, Other, Prefer not to answer, Unknown, White,Asian",,ManifestColumn,Metadata
sampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate. ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Not Specified, Not applicable, Not collected, Unknown,Other",string,ManifestColumn,Metadata
samplePrepProtocol,"An internet address that may provide more details of the protocol information (web link).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,ManifestColumn,Metadata
sampleType,"The type of sample collected or the term used to describe the source of a biospecimen used for a laboratory test.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified","Appendix, B cell, Basophils, Bone, Bone Marrow, Brachial lymph node, Breast Milk, Bronchoalveolar Lavage Fluid, Carbohydrate, Cell culture supernatant, Cerebrospinal Fluid, Cervical lymph nodes, Colon, Colonic Lamina Propria, Convalescent Plasma, Cord blood, DNA, Dendritic cell, Dermis, Dried Blood Spot, Endotracheal aspirate, Epithelium, Feces, Fibroblast, Gastric lamina propria, Ileum, Inguinal lymph node, Jejunum, Kidney, Leukocytes, Lipid, Liver, Lung, Lung lymph node, Lymph node, Lymphocyte, Macrophage, Mesenteric lymph node, Monocyte, Mouse Ear, NK cell, Nasal Swab, Nasal Swab or Nose Specimen, Nasal lavage fluid, Nasopharyngeal Swab Specimen, Negative Control, Neutrophil, Not Specified, Optic Nerve, Organoids, Oropharyngeal Swab Specimen, Osteoblasts, OtherSampleType, PBL, PBMC, Pancreas, Pancreatic Stellate Cells, Placenta, Plasma, Pooled Sample, Popliteal lymph node, Positive Control, Protein, Rectal Swab Specimen, Red Blood Cell, Saliva, Salivary Glands, Serum, Skin of body, Small intestine, Spleen, Sputum, Stomach, Synovial fluid, Synovial tissue, T cell, Thymus, Tonsil, Trachea, Tumor Tissue, Umbilical cord blood, Urinary bladder, Urine, Vagina, Whole blood, brain, cell line,Amniotic Fluid",string,ManifestColumn,Metadata
samplingAge,"The calculated age of the sample, measurement is determined or coded by the data contributor. ",,,ManifestColumn,Metadata
sex,The biological sex of the individual,"Female, Not applicable, Not collected, Other, Unknown,Male",,ManifestColumn,Metadata
speciesAge,"Age of individual (formatted in months, ex. ""72 months""). note: Uncertainty about the age might require recording age by specifying a lower and upper estimate in months for the age of the animal.","Not applicable, Not collected,Unknown",,ManifestColumn,Metadata
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Bird, Mammal, Not applicable, Not collected, Other, Primate, Rodent, Unknown,Human",,ManifestColumn,Metadata
