Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Parent
MIB-MS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
MOI,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Macrophage,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Metlin,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,,,False,http://purl.obolibrary.org/obo/MS_1001013,unspecified
Monocyte,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
NIST17,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,,,False,http://purl.obolibrary.org/obo/MS_1001013,unspecified
NPX,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Negative,Ion charge state (positive or negative-ion analysis),STRING,,,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Neutrophil,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Organoids,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Osteoblasts,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
OtherAcquisitionBatchSizeUnitAcquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,STRING,,,False,Sage Bionetworks,unspecified
OtherBatchSizeUnitBatchSizeUnit,The unit of measurement for number of samples in a batch,STRING,,,False,Sage Bionetworks,unspecified
OtherControlType,"When controlType = other,Control samples suitable for normalization and batch correction",STRING,,specifyControlType,False,"Sage Bionetworks,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG",Specification
OtherDatabaseNameDatabaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,,,False,http://purl.obolibrary.org/obo/MS_1001013,unspecified
OtherDatabaseSourceDatabaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",STRING,,,False,http://purl.obolibrary.org/obo/MS_1001012,unspecified
OtherExperiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,STRING,,,False,Sage Bionetworks,unspecified
OtherExtractionMethodExtractionMethod,The name of the process used to separate a desired component of an input material from the remainder,STRING,,,False,http://purl.obolibrary.org/obo/OBI_0302884,unspecified
OtherLensVoltagesUnit,Unit of lens voltages,STRING,,,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
OtherMsAnalyteType,"When msAnalyteType = other,the type of biospecimen subjected to analysis",STRING,,specifyMSAnalyteType,False,"Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",Specification
OtherMsInstrumentModelMsInstrumentModel,The model of the mass spectrometer  used,STRING,,,False,"DSLWG,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
OtherPlatformLocationPlatformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
OtherProcessingBatchSizeUnitProcessingBatchSizeUnit,The unit of measurement for number of samples in a batch,STRING,,,False,Sage Bionetworks,unspecified
OtherSampleBatchSizeUnitSampleBatchSizeUnit,The unit of measurement for number of samples in a batch,STRING,,,False,Sage Bionetworks,unspecified
OtherSampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate.",STRING,,,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
OtherSampleTypeSampleType,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
OtherTechnologyPlatformVersionTechnologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,,,False,"Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",unspecified
OtherVacuumPressureUnit,Unit of vacuum pressure value,STRING,,,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
PBL,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
PBMC,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
PFU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
PFUe,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Pancreas,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Placenta,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Plasma,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Positive,Ion charge state (positive or negative-ion analysis),STRING,,,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Pound,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Protein,"the type of biospecimen subjected to analysis,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",unspecified
Saliva,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Serum,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Spleen,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Sputum,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Stomach,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
TCID50,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
TargetedMsTarget,"When msTarget = Targeted,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay",STRING,,msAnalyteType,False,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",unspecified
Thymus,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Tonsil,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Trachea,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
True,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.,Were the ionization conditions recorded to enable reproduction of the experiment,Was the sample taken after death (true/false),Was a reagent applied to the sample,Was a treatment applied to the sample,Indicates whether or not the bisulfiteSeq library is directional,Whether or not the library is stranded.,Was individual fasting when the sample was taken (true/false)",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
TrueHasAssayControl,When hasAssayControl = TRUE,unspecified,,controlType,False,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,unspecified
TrueHasIonizationSource,When hasIonizationSource = TRUE,unspecified,,"gasFlowTemperature,gasFlowTemperatureUnit,ionProperty,lensVoltages,lensVoltagesUnit,vacuumPressure,vacuumPressureUnit",False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
UPLC-ESI-QTOF-MS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
UPLC-MSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
UnTargetedMsTarget,"Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
UnTargetedMsTargetUnknown,"Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
Urine,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Vagina,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",STRING,,,False,Sage Bionetworks,unspecified
acquisitionBatchSize,The number of samples,STRING,,,False,Sage Bionetworks,unspecified
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,STRING,"AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,OtherAcquisitionBatchSizeUnitAcquisitionBatchSizeUnit,PFU,PFUe,Pound,TCID50,bpg/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",,False,Sage Bionetworks,unspecified
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).",STRING,"Not Specified,Not applicable,Not collected,Unknown",,True,https://www.ebi.ac.uk/ols/ontologies/ms/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,unspecified
acquisitionSoftware,The name of the acquisition software used,STRING,"Not Specified,Not applicable,Not collected,Unknown",,True,http://purl.obolibrary.org/obo/MS_1001455,unspecified
acquistionSoftwareVersion,The version number of software used,NUMBER,,,"False,True","DSLWG,Sage Bionetworks",unspecified
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",STRING,,,False,Sage Bionetworks,unspecified
batchLabel,Used to supply batch label information with any string value,STRING,,,False,http://purl.obolibrary.org/obo/MS_4000088,unspecified
batchSize,The number of samples,NUMBER,,,False,Sage Bionetworks,unspecified
batchSizeUnit,The unit of measurement for number of samples in a batch,STRING,"AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,OtherBatchSizeUnitBatchSizeUnit,PFU,PFUe,Pound,TCID50,bpg/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",,False,Sage Bionetworks,unspecified
brain,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
controlType,Control samples suitable for normalization and batch correction,STRING,"AIBL pool,Baker pool,GIS,GoldenWest,NIST SRM 1950,Not Specified,Not applicable,Not collected,OtherControlType,Unknown,internal standards,study pool,water plus Baker ISTD",,False,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,unspecified
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,"HMDB,MassBank of North America (MoNA),Metlin,NIST17,Not Specified,Not applicable,Not collected,OtherDatabaseNameDatabaseName,Unknown",,True,http://purl.obolibrary.org/obo/MS_1001013,unspecified
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",STRING,"Not Specified,Not applicable,Not collected,OtherDatabaseSourceDatabaseSource,Unknown",,"False,True",http://purl.obolibrary.org/obo/MS_1001012,unspecified
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs who generate their own search method",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
experiementalBatchSize,The number of samples ,NUMBER,,,False,Sage Bionetworks,unspecified
experiementalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,STRING,"AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,OtherExperiementalBatchSizeUnit,PFU,PFUe,Pound,TCID50,bpg/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",,False,Sage Bionetworks,unspecified
extractionMethod,The name of the process used to separate a desired component of an input material from the remainder,STRING,"Not Specified,Not applicable,Not collected,OtherExtractionMethodExtractionMethod,Unknown",,True,http://purl.obolibrary.org/obo/OBI_0302884,unspecified
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.",NUMBER,,,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
gasFlowTemperatureUnit,Unit of gas flow temperature,STRING,"C,F,K,Not Specified",,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
gm,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.",BOOLEAN,"False,True",,True,Sage Bionetworks,unspecified
hasIonizationSource,Were the ionization conditions recorded to enable reproduction of the experiment,BOOLEAN,"False,True",,True,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
ionProperty,Ion charge state (positive or negative-ion analysis),STRING,"Negative,Positive",,False,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
kg,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
l,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
mM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
metabolite,the type of biospecimen subjected to analysis,STRING,,,False,http://purl.obolibrary.org/obo/NCIT_C156434,unspecified
mg,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
ml,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
msAnalyteType,the type of biospecimen subjected to analysis,STRING,"Lipid,Not Specified,Not applicable,Not collected,OtherMsAnalyteType,Protein,Unknown,metabolite",,False,http://purl.obolibrary.org/obo/NCIT_C156434,unspecified
msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",STRING,"Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1MsAnalyzerTypeMS1,Exploris 240Exploris 480quadrupole time-of-flight,LTQ Orbitrap XL,Not Specified,Not applicable,Not collected,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Unknown,Xevo G2 QTOF,Xevo TQ-S,time-of-flight,triple quadrupole",,True,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",STRING,"Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2MsAnalyzerTypeMS2,Exploris 240Exploris 480quadrupole time-of-flight,LTQ Orbitrap XL,Not Specified,Not applicable,Not collected,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Unknown,Xevo G2 QTOF,Xevo TQ-S,time-of-flight,triple quadrupole",,True,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DDA-MS,DIA-MS,FIA-MSMS,HPLC-MSMS,LC-MS,LC-MSMS,LC-SRMOtherMsAssayTechniqueMsAssayTechnique,MDMS-SL,MIB-MS,Not Specified,Not applicable,Not collected,UPLC-ESI-QTOF-MS,UPLC-MSMS,Unknown",,True,"DSLWG,Sage Bionetworks",unspecified
msInstrumentModel,The model of the mass spectrometer  used,STRING,"Not Specified,Not applicable,Not collected,OtherMsInstrumentModelMsInstrumentModel,Unknown",,True,"DSLWG,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
msTarget,"Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay",STRING,"Not Specified,Not applicable,Not collected,TargetedMsTarget,UnTargetedMsTarget,UnTargetedMsTargetUnknown,Unknown",,True,"DSLWG,Sage Bionetworks",unspecified
nM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
ng,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
nl,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
otherAcquisitionBatchSizeUnit,When acquisitionBatchSizeUnit = other,unspecified,,specifyAcquisitionBatchSizeUnits,False,,Specification
otherBatchSizeUnit,When batchSizeUnit = other,unspecified,,specifyBatchSizeUnits,False,Sage Bionetworks,Specification
otherDatabaseName,When databaseName = other,unspecified,,specifyDatabaseName,False,Sage Bionetworks,Specification
otherDatabaseSource,When databaseSource = other,unspecified,,specifyDatabaseSource,False,Sage Bionetworks,Specification
otherExperimentalBatchSizeUnit,When experimentalBatchSizeUnit = other,unspecified,,specifyExperimentalBatchSizeUnits,False,,Specification
otherLensVoltageUnits,When lensVoltageUnits = other,unspecified,,specifyLensVoltageUnits,False,Sage Bionetworks,Specification
otherMeasurementTechnique,When measurementTechnique = other,unspecified,,specifyMeasurementTechnique,False,Sage Bionetworks,Specification
otherMsAnalyzerTypeMS1,When msAnalyzerTypeMS1 = other,unspecified,,specifyMSAnalyzerTypeMS1,False,Sage Bionetworks,Specification
otherMsAnalyzerTypeMS2,When msAnalyzerTypeMS2 = other,unspecified,,specifyMSAnalyzerTypeMS2,False,Sage Bionetworks,Specification
otherMsAssayTechnique,When msAssayTechnique = other,unspecified,,specifyMSAssayTechnique,False,Sage Bionetworks,Specification
otherMsInstrumentModel,When msInstrumentModel = other,unspecified,,specifyMSInstrumentModel,False,Sage Bionetworks,Specification
otherPlatformLocation,When platformLocation = other,unspecified,,specifyPlatformLocation,False,Sage Bionetworks,Specification
otherProcessingBatchSizeUnit,When ProcessingBatchSizeUnit = other,unspecified,,specifyProcessingBatchSizeUnit,False,Sage Bionetworks,Specification
otherSampleBatchSizeUnit,When sampleBatchSizeUnit = other,unspecified,,specifySampleBatchSizeUnits,False,Sage Bionetworks,Specification
otherSampleIntdocution,When sampleIntdocution = other,unspecified,,specifySampleIntroduction,False,Sage Bionetworks,Specification
otherSampleType,When sampleType = other,unspecified,,specifySampleType,False,Sage Bionetworks,Specification
otherTechnologyPlatformVersion,When technologyPlatformVersion = other,unspecified,,specifyPlatformVersion,False,Sage Bionetworks,Specification
otherVaccumPressureUnits,When vaccumPressureUnits = other,unspecified,,specifyVacuumPressueUnits,False,Sage Bionetworks,Specification
pM,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
pg,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
pl,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
