Key,Key Description,Type,Source,module
AffymetrixU133AB,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
Agilent44Karray,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
AmericanIndianorAlaskaNative,Race of individual,STRING,"Sage Bionetworks,https://jamanetwork.com/pages/inclusive-language,https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsfversion=23.04d,https://www.synapse.org/#!Synapse:syn25878249",
AmnioticFluid,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Appendix,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
ArrayExpress,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
Asian,Race of individual,STRING,"Sage Bionetworks,https://jamanetwork.com/pages/inclusive-language,https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsfversion=23.04d,https://www.synapse.org/#!Synapse:syn25878249",
Bcell,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
BGISEQ500,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
BU,Name of the field center ,STRING,Sage Bionetworks,
Bakerpool,Control samples suitable for normalization and batch correction,STRING,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,
Basophils,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
BionanoIrys,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
Bird,The taxonomic ranking including both species and subspecies the individual belongs to.,STRING,https://ontobee.org/ontology/NCITiri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/termsiri=http%3A%2F%2Fedamontology.org%2Fdata_1045,
BlackorAfricanAmerican,Race of individual,STRING,"Sage Bionetworks,https://jamanetwork.com/pages/inclusive-language,https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsfversion=23.04d,https://www.synapse.org/#!Synapse:syn25878249",
Bone,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
BoneMarrow,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Brachiallymphnode,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
BreastMilk,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
BroadSingleCellPortal,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
BronchoalveolarLavageFluid,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
BrukerAvanceIIITimsTOFProOtherMsAnalyzerTypeMS1MsAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",STRING,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
BrukerAvanceIIITimsTOFProOtherMsAnalyzerTypeMS2MsAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),Describes the mass spectrometer analyzer used to read out fragment ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",STRING,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
C,"Unit of gas flow temperature,Unit of treatment temperature",STRING,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
CELseq,Method by which library was prepared,STRING,Sage Bionetworks,
Carbohydrate,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
CardiovascularHealthStudyCHS,Name of the cohort the individual belongs to,STRING,Sage Bionetworks,
Cellculturesupernatant,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Centenarian,Name of the cohort the individual belongs to,STRING,Sage Bionetworks,
CerebrospinalFluid,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
CerebrospinalFluidCSF,Type of biological material comprising the Specimen,STRING,"Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",
Cervicallymphnodes,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
CherryImagingFACEPlatform,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
CherryImagingTRACEPlatform,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
ChromiumSingleCell3',The general strategy by which the library was prepared,STRING,Sage Bionetworks,
ChromiumX,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
Colon,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
ColonicLaminaPropria,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
ConvalescentPlasma,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Cordblood,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
DDAMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
DIAMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
DK,Name of the field center ,STRING,Sage Bionetworks,
DNA,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
DNALibraryConstruction,The general strategy by which the library was prepared,STRING,Sage Bionetworks,
Days,Unit of treatment duration,STRING,"ImmPort,Sage Bionetworks",
Dendriticcell,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
DenmarkFamily,Name of the cohort the individual belongs to,STRING,Sage Bionetworks,
Dermis,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
DriedBloodSpot,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
DropSeq,Method by which library was prepared,STRING,Sage Bionetworks,
ENA,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
EnVision2103MultiplateReader,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
EndItDNAEndRepairKit,The general strategy by which the library was prepared,STRING,Sage Bionetworks,
Endotrachealaspirate,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Ensembl,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
Epithelium,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Exploris240Exploris480quadrupoletimeofflight,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),Describes the mass spectrometer analyzer used to read out fragment ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)",STRING,"Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
F,"Unit of gas flow temperature,Unit of treatment temperature",STRING,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
FIAMSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
FPKM,The unit for the result value,STRING,Sage Bionetworks,
False,"Was individual fasting when the sample was taken (true/false),Indicates whether or not the bisulfiteSeq library is directional,Whether or not the library is stranded.,Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.,Was a reagent applied to the sample,Was a treatment applied to the sample,Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed,Were the ionization conditions recorded to enable reproduction of the experiment,Was the sample taken after death (true/false)",STRING,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
Feces,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Female,The biological sex of the individual,STRING,"Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C28421,https://www.synapse.org/#!Synapse:syn25878249",
Fibroblast,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
FlowRepository,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
GEO,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
GIS,Control samples suitable for normalization and batch correction,STRING,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,
GISAID,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
Gastriclaminapropria,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
GenBank,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
GoldenWest,Control samples suitable for normalization and batch correction,STRING,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,
HMDB,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,http://purl.obolibrary.org/obo/MS_1001013,
HPLCMSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
HispanicorLatinoEthnicity,"When ethnicity = Hispanic or Latino,Ethnicity of individual",STRING,"Sage Bionetworks,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsfdictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,https://www.synapse.org/#!Synapse:syn25878249",
Hours,Unit of treatment duration,STRING,"ImmPort,Sage Bionetworks",
Human,The taxonomic ranking including both species and subspecies the individual belongs to.,STRING,https://ontobee.org/ontology/NCITiri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/termsiri=http%3A%2F%2Fedamontology.org%2Fdata_1045,
IEDB,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
ILO,"Unique identifier for the study, assigned by the DCC",STRING,Sage Bionetworks,
ITRAQ,Type of peptide quantification used (ex. Label Free),STRING,"DSLWG,Sage Bionetworks,https://www.ebi.ac.uk/ols/ontologies/pride/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPRIDE_0000514&viewMode=All&siblings=false",
Ileum,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Illumina1M,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaGenomeAnalyzerIIx,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHiSeq2000,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHiSeq2500,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHiSeq3000,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHiSeq4000,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHiSeqX,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHuman660WQuadv10BeadChip,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHumanHap300,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHumanMethylation450,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHumanOmni1Quadv10,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHumanOmniExpress24v10BeadChip,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaHumanOmniExpress24v12BeadChip,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaInfiniumMethylationEPICBeadChipv10850k,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaInfiniumMethylationEPICBeadChipv20935kIlluminaMiSeq,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaMouseWG6v20expressionBeadChip,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaNextSeq1000,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaNextSeq2000,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaNextSeq500,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaNextSeq550,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaNovaSeq6000,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaOmni2pt5M,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaOmni5M,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
IlluminaWholeGenomeDASL,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
Illuminah650,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
ImmPort,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
InfiniumHumanOmniExpressExome,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
Inguinallymphnode,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Jejunum,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Juvenile,The life stage of the individual. note: Other values are possible depending on life stage terminology for individual species. Please let the data curation team know.,STRING,"Biological Collections Ontology,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=range%3A%20female%3B%20male-,https://www.ebi.ac.uk/ols/ontologies/pato,life%20stage",
K,"Unit of gas flow temperature,Unit of treatment temperature",STRING,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",
KapaHyperPrep,The general strategy by which the library was prepared,STRING,Sage Bionetworks,
Kidney,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
LC,"Unique identifier for the study, assigned by the DCC",STRING,Sage Bionetworks,
LCMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
LCMSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
LCSRMOtherMsAssayTechniqueMsAssayTechnique,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
LG,"Unique identifier for the study, assigned by the DCC",STRING,Sage Bionetworks,
LICOROdysseyCLx,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
LLFS,"Unique identifier for the study, assigned by the DCC",STRING,Sage Bionetworks,
LTQOrbitrapXL,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),Describes the mass spectrometer analyzer used to read out fragment ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments),The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
LabelFree,Type of peptide quantification used (ex. Label Free),STRING,"DSLWG,Sage Bionetworks,https://www.ebi.ac.uk/ols/ontologies/pride/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPRIDE_0000514&viewMode=All&siblings=false",
Leukocytes,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
LifeVizInfinitySystem,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
LifeVizMicroSystem,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor,The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.",STRING,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",
Lipid,"the type of biospecimen subjected to analysis,The type of sample collected",STRING,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",
Liver,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Lung,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Lunglymphnode,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Lymphnode,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Lymphocyte,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
MDMSSL,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
MGnify,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
MIBMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,"DSLWG,Sage Bionetworks",
MULTIseq,The general strategy by which the library was prepared,STRING,Sage Bionetworks,
Macrophage,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Male,The biological sex of the individual,STRING,"Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C28421,https://www.synapse.org/#!Synapse:syn25878249",
Mammal,The taxonomic ranking including both species and subspecies the individual belongs to.,STRING,https://ontobee.org/ontology/NCITiri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/termsiri=http%3A%2F%2Fedamontology.org%2Fdata_1045,
MassBankofNorthAmericaMoNA,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,http://purl.obolibrary.org/obo/MS_1001013,
MassIVE,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
Mesentericlymphnode,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
MetaboLights,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
MetabolomicsWorkbench,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",STRING,Sage Bionetworks,
Metlin,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,http://purl.obolibrary.org/obo/MS_1001013,
Minutes,Unit of treatment duration,STRING,"ImmPort,Sage Bionetworks",
Monocyte,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
Months,Unit of treatment duration,STRING,"ImmPort,Sage Bionetworks",
MouseEar,The type of sample collected,STRING,"ImmPort,Sage Bionetworks",
