Key,Key Description,Valid Values,columnType,Parent,Module
OtherProteomicsAssayType,"If ""other"" is selected list the name of the type of peptide quantification used",,,ValidValue,Other
OtherReadLengthUnits,"If ""other"" provide the unit of measure",,,ValidValue,Other
OtherRepositoryName,"If ""other"" list the name of the repository",,,ValidValue,Other
OtherRnaBatchSizeUnit,"If ""other"" list unit of measure",,,ValidValue,Other
OtherSampleBatchSizeUnit,"If ""other"" list the unit of measure",,,ValidValue,Other
OtherSampleIntdocution,"If ""other"" list the name of the sample introduction",,,ValidValue,Other
OtherSequencingBatchSizeUnit,"If ""other"" list unit of measure",,,ValidValue,Other
OtherTechnologyPlatformVersion,"If ""other"" list the name of the platform version",,,ValidValue,Other
OtherTranscriptType,"If ""other"" list the transcript type",,,ValidValue,Other
OtherVaccumPressureUnits,"If ""other"" provide the unit of measure",,,ValidValue,Other
OtherVacuumPressureUnit,,,,ValidValue,Other
OtherYesHasIonizationSource,,,,ValidValue,Other
specifyAcquisitionBatchSizeUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyBatchSizeUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyControlType,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyConversionRatioUnit,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyDatabaseName,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyDatabaseSource,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyDigestionMethod,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyDNABatchSizeUnit,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyEnrichmentMethod,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyExperimentalBatchSizeUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyExtractionMethod,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyLensVoltageUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyLibraryPrep,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyLibraryPreparationMethod,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyLibraryVersion,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyMeasurementTechnique,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyMSAnalyteType,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyMSAnalyzerTypeMS1,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyMSAnalyzerTypeMS2,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyMSAssayTechnique,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyMSInstrumentModel,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyOtherCleavageAgent,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyOtherModificationParameters,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyPlatformLocation,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyPlatformVersion,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyProcessingBatchSizeUnit,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyProteomicsAssayType,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyReadLengthUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyRepositoryName,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyRNABatchSizeUnit,Value is determined by the data contributor,,String,ManifestColumn,Other
specifySampleBatchSizeUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
specifySampleIntroduction,Value is determined by the data contributor,,String,ManifestColumn,Other
specifySampleType,Value is determined by the data contributor,,String,ManifestColumn,Other
specifySequencingBatchSizeUnit,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyTranscriptType,Value is determined by the data contributor,,String,ManifestColumn,Other
specifyVacuumPressueUnits,Value is determined by the data contributor,,String,ManifestColumn,Other
Unknown,,,,ValidValue,Other
