Key,Key Description,Valid Values,columnType,Parent,Module
manifold_learning,Application of any class of non-linear dimensionality reduction methods to produce low dimensional representations of noisy high dimensional data,,STRING,AnalysisType,Analysis
methylation_quantitative_trait_loci_detection,A stretch of DNA at a particular chromosomal location that is able to regulate the methylation of DNA. Abbreviated mQTL or meQTL.,,STRING,AnalysisType,Analysis
network_analysis,"A data transformation that takes as input data that describes biological networks in terms of the node (a.k.a. vertex) and edge graph elements and their characteristics and generates as output properties of the constituent nodes and edges, the sub-graphs, and the entire network.",,STRING,AnalysisType,Analysis
network_driver_detection,Identification of drivers of disease based on network analyses.,,STRING,AnalysisType,Analysis
outlier_detection,An observation in a data set that is numerically distant from the rest of the data.,,STRING,AnalysisType,Analysis
peak_calling,"An inferential statistical data analysis to identify protein-binding regions in a genome sequence from the data generated from a ChIP-sequencing or ChIP-chip experiment. When the protein is a transcription factor, the region is a transcription factor binding site (TFBS).",,STRING,AnalysisType,Analysis
principal_component_analysis,Principal Component Analysis: Mathematical procedure that transforms a number of possibly correlated variables into a smaller number of uncorrelated variables called principal components.,,STRING,AnalysisType,Analysis
protein_quantitative_trait_loci_detection,A stretch of DNA at a particular chromosomal location that is able to regulate protein expression. Abbreviated pQTL.,,STRING,AnalysisType,Analysis
purity,"A quantitative assessment of the homogeneity or uniformity of a mixture. Alternatively, purity refers to the degree of being free of contaminants or heterogeneous components",,STRING,AnalysisType,Analysis
quality_control,A technique used to ensure a certain level of quality in a product or service.,,STRING,AnalysisType,Analysis
search_engine_output_files,These files contain the data and metadata generated by the software (called search engines) used for performing the identification and quantification of peptides and proteins.,,STRING,AnalysisType,Analysis
somatic_mutation_calling,Identification of de-novo mutations in somatic cells.,,STRING,AnalysisType,Analysis
statistical_network_reconstruction,Learning network relationships between genes based on their coexpression patterns.,,STRING,AnalysisType,Analysis
structural_variation_detection,Detection of large regions in a genome subject to copy-number variation or other structural variations.,,STRING,AnalysisType,Analysis
transcript_quantification,Quantification of the abundunce of specific gene expression transcript isoforms.,,STRING,AnalysisType,Analysis
variancePartition,Identification of percentage variance explained of a dependent variable by multiple classes of independent variables.,,STRING,AnalysisType,Analysis
visualization,"Resource that provides access to tools for graphical, interactive, multimodal and multidimensional data and result visualization.",,STRING,AnalysisType,Analysis
