Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type
dataType,Types of input/output data in bioinformatics pipelines,"genomicVariants,geneExpression",,,TRUE,DataProperty,,Sage Bionetworks,,Experimental Data,STRING
kitNumber,Kit serial number,,,,TRUE,DataProperty,,,,,
DV200,A method to determine the quality of RNA obtained from a sample. DV200 evaluates the percentage of fragments of greater than 200 nucleotides.,,,,FALSE,DataProperty,,,num,,
duplicationRate,The duplication rate is the fraction of mapped reads where any 2 reads share the same 5_ and 3_ coordinates.,,,,FALSE,DataProperty,,,num,,
bulkRNAseqRawFileAnnotations,"Files containing raw bulk RNA sequencing data (fastq) or aligned sequence files that include all unmapped reads (bam, cram)",,"Filename,fileFormat,resourceType,assay,dataType,dataSubtype,specimenID,individualID,sampleType,nucleicAcidSource,site",,FALSE,DataType,,,,,
BulkRNASeqCountsFileAnnotations,Files containing bulk RNA count matrix data,,"Filename,fileFormat,resourceType,assay,dataType,dataSubtype,specimenID,individualID,sampleType,nucleicAcidSource,referenceSet,site",,FALSE,DataType,,,,,
MetadataFileAnnotations,Metadata files include clinical and biospecimen metadata,,"Filename,fileFormat,resourceType,metadataType,site",,FALSE,DataType,,,,,
resourceType,The type of resource being stored and annotated,"analysis,curatedData,experimentalData,metadata,report,tool",,,TRUE,DataProperty,,,,,
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","assay metadata,biospecimen metadata,data dictionary,individual,protocol,quality assessment",,,TRUE,DataProperty,,,,,
scRNAseqAssayTemplate,,,"individualID,specimenID,assay,sampleBarcode,sampleTissueType,platform,libraryPrep,libraryPreparationMethod,libraryVersion,libraryType,isStranded,readStrandOrigin,readLength,runType,referenceSet,sampleStatus,analysisThresholds,analysisType,nucleicAcidSource,alignmentInformation,vendor,RIN,libraryID,rnaBatch,rnaIsolationKit,libraryBatch,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,fileFormat,dataSubtype,cellViability,ratioMitochondria,uniqueGenes,mappedReads,rRNARate,dataType,kitNumber,DV200,duplicationRate,genomicSex",,FALSE,DataType,,,,,
sampleTissueType,Tissue type used in sample,"LP,EPI,both LP and EPI,blood,organoid",,,TRUE,DataProperty,,,,,
medianUMIs,The median number of total Unique Molecular Identifier (UMI) counts across all cell-associated barcodes,,,,FALSE,DataProperty,,,,,
cellViability,A cell phenotype that consists of the cell's disposition to survive and develop normally.,"Inviable cell,Viable cell",,,FALSE,DataProperty,,,,,
ratioMitochondria,Percent mitochondria per cell,,,,FALSE,DataProperty,,,,,
genomicSex,The predicition of sex based on expression of genes,"Male,Female",,,FALSE,DataProperty,,,,,
